2016-08-15,Dia do Solteiro,3
2016-08-19,Dia da Fotografia,1
2016-08-19,Dia do Ator,2
2016-08-19,Dia do Ciclista,3
2016-08-19,Dia do Historiador,4
2016-08-22,Dia do Educador Especial,1
2016-08-24,Dia dos Artistas,1
2016-08-24,Dia da Infância,2
2016-08-25,Dia do Soldado,1
2016-08-27,Dia do Psicólogo,1
2016-08-27,Dia do Corretor Imobiliário,2
2016-08-28,Dia dos Bancários,1
2016-08-30,Dia do Vendedor Lojista,1
2016-08-31,Dia do Nutricionista,1
2016-09-03,Dia do Biólogo,1
2016-09-05,Dia do Irmão,0
2016-09-05,Dia da Amazônia,1
2016-09-05,Dia do Oficial de Justiça,2
2016-09-06,Dia do Sexo,1
2016-09-06,Dia do Alfaiate,2
2016-09-07,Independência do Brasil,0
2016-09-08,Dia da Alfabetização,1
2016-09-09,Dia do Administrador,1
2016-09-09,Dia do Médico Veterinário,2
2016-09-11,Dia do Árbitro Esportivo,1
2016-09-13,Dia do Agrônomo,1
2016-09-13,Dia da Cachaça,2
2016-09-15,Dia do Cliente,0
2016-09-16,Dia do Caminhoneiro,1
2016-09-19,Dia do Comprador,1
2016-09-19,Dia do Ortopedista,2
2016-09-21,Dia da Árvore,1
2016-09-21,Dia do Fazendeiro,2
2016-09-21,Dia do Radialista,3
2016-09-22,Dia do Atleta Paraolímpico,1
2016-09-22,Dia do Contador,2
2016-09-23,Dia do Sorvete,1
2016-09-23,Dia do Técnico Industrial,2
2016-09-25,Dia do Rádio,1
2016-09-26,Dia do Policial,1
2016-09-27,Dia do Encanador,1
2016-09-29,Dia do Anunciante,1
2016-09-30,Dia da Secretária,1
2016-09-30,Dia do Churrasqueiro,2
2016-09-30,Dia do Jornaleiro,3
2016-09-30,Dia do Tradutor,4
2016-09-30,Dia da Navegação,5
2016-10-01,Dia da Música,1
2016-10-01,Dia do Representante Comercial,2
2016-10-01,Dia do Vendedor,3
2016-10-01,Dia do Vegetarianismo,4
2016-10-03,Dia do Dentista,1
2016-10-04,Dia dos Animais,1
2016-10-04,Dia do Cachorro,2
2016-10-04,Dia do Barman,3
2016-10-04,Dia da Natureza,4
2016-10-05,Dia da Micro e Pequena Empresa,1
2016-10-07,Dia do Compositor Brasileiro,1
2016-10-09,Dia do Atletismo,1
2016-10-09,Dia do Açougueiro,2
2016-10-10,Dia da Saúde Mental,1
2016-10-12,Dia da Criança,0
2016-10-12,Dia da Leitura,1
2016-10-12,Dia de Nsa Sra Aparecida,2
2016-10-12,Dia dos Corretores de Seguro,3
2016-10-12,Dia do Engenheiro Agrônomo,4
2016-10-13,Dia do Fisioterapeuta,1
2016-10-13,Dia do Terapeuta Ocupacional,2
2016-10-14,Dia da Pecuária,1
2016-10-15,Dia do Professor,0
2016-10-16,Dia da Alimentação,1
2016-10-17,Dia do Profissional de Propaganda,1
2016-10-17,Dia da MPB,2
2016-10-17,Dia do Eletricista,3
2016-10-17,Dia da Apicultura,4
2016-10-18,Dia do Médico,1
2016-10-19,Dia do Profissional de Informática,1
2016-10-21,Dia do Contato Publicitário,1
2016-10-22,Dia do Enólogo,1
2016-10-23,Dia do Aviador,1
2016-10-23,Dia da Aviação Brasileira,2
2016-10-25,Dia do Cirurgião-dentista,1
2016-10-25,Dia do Macarrão,2
2016-10-26,Dia da Construção Civil,1
2016-10-28,Dia do Funcionário Público,1
2016-10-28,Dia da Animação,2
2016-10-28,Dia do Judô,3
2016-10-29,Dia das Flores,1
2016-10-30,Dia do Comerciário,1
2016-10-30,Dia do Balconista,2
2016-10-30,Dia da Decoração,3
2016-10-30,Dia do Ginecologista e Obstetra,4
2016-10-31,Halloween,0
2016-11-01,Dia Mundial Vegano,1
2016-11-02,Finados,0
2016-11-05,Dia da Ciência e Cultura,1
2016-11-05,Dia da Cultura,2
2016-11-05,Dia do Designer,3
2016-11-05,Dia do Inventor,4
2016-11-05,Dia do Técnico em Eletrônica,5
2016-11-09,Dia do Hoteleiro,1
2016-11-12,Dia do Diretor de Escola,1
2016-11-15,Proclamação da República,0
2016-11-15,Dia do Joalheiro,1
2016-11-17,Dia da Criatividade,1
2016-11-19,Dia da Bandeira,1
2016-11-20,Dia da Consciência Negra,1
2016-11-20,Dia do Biomédico,2
2016-11-21,Dia do Homeopata,1
2016-11-22,Dia do Músico,1
2016-11-24,Dia de Ação de Graças,1
2016-11-25,Black Friday,0
2016-11-25,Dia do Doador de Sangue,1
2016-11-27,Dia do Técnico de Seg do Trabalho,1
2016-11-30,Dia do Síndico,1
2016-12-02,Dia das Relações Públicas,1
2016-12-02,Dia de Astronomia,2
2016-12-03,Dia da Pessoa com Deficiência,1
2016-12-04,Dia da Propaganda,1
2016-12-09,Dia do Fonoaudiólogo,1
2016-12-09,Dia do Profissional de Culinária,2
2016-12-10,Dia dos Direitos Humanos,1
2016-12-11,Dia do Engenheiro,1
2016-12-15,Dia do Arquiteto e Urbanista,1
2016-12-20,Dia do Mecânico,1
2016-12-21,Dia do Artista Profissional,1
2016-12-23,Dia do Atleta Amador,1
2016-12-25,Natal,0
2016-12-28,Dia do Salva-Vidas,1
2016-12-28,Dia da Marinha Mercante,2
2017-01-01,Confraternização Universal,0
2017-01-06,Dia dos Astrólogos,1
2017-01-07,Dia do Leitor,1
2017-01-09,Dia do Astronauta,1
2017-01-14,Dia do Treinador de Futebol,1
2017-01-15,Dia do Compositor,1
2017-01-19,Dia do Cabeleireiro,1
2017-01-20,Dia do Farmacêutico,1
2017-01-24,Dia do Aposentado,1
2017-01-25,Dia do Carteiro,1
2017-01-28,Dia do Comércio Exterior,1
2017-01-30,Dia das Histórias em Quadrinhos,1
2017-02-01,Dia do Publicitário,1
2017-02-02,Dia do Agente Fiscal,1
2017-02-05,Dia do Dermatologista,1
2017-02-16,Dia do Repórter,1
2017-02-28,Carnaval,0
2017-03-01,Dia do Turismo Ecológico,1
2017-03-02,Dia do Turismo,1
2017-03-08,Dia da Mulher,0
2017-03-10,Dia do Telefone,1
2017-03-12,Dia do Bibliotecário,1
2017-03-14,Dia da Poesia,1
2017-03-15,Dia da Escola,1
2017-03-19,Dia do Artesão,1
2017-03-19,Dia do Carpinteiro,2
2017-03-20,Dia da Agricultura,1
2017-03-22,Dia da Água,1
2017-03-26,Dia do Cacau,1
2017-03-28,Dia do Revisor,1
2017-03-31,Dia da Saúde e Nutrição,1
2017-04-01,Dia da Mentira,1
2017-04-07,Dia da Saúde,1
2017-04-07,Dia do Jornalista,2
2017-04-07,Dia do Corretor,3
2017-04-08,Dia do Sistema Braille,1
2017-04-09,Dia do Aço,1
2017-04-10,Dia da Engenharia,1
2017-04-12,Dia do Humorista,1
2017-04-13,Dia do Beijo,1
2017-04-14,Dia das Américas,1
2017-04-14,Dia do Neurocirurgião,2
2017-04-15,Dia do Desenhista,1
2017-04-16,Páscoa,0
2017-04-16,Dia da Voz,1
2017-04-17,Dia da Botânica,1
2017-04-18,Dia do Livro Infantil,1
2017-04-19,Dia da Bicicleta,1
2017-04-19,Dia do Índio,1
2017-04-19,Dia do Exército Brasileiro,2
2017-04-20,Dia do Diplomata,1
2017-04-21,Tiradentes,0
2017-04-22,Descobrimento do Brasil,0
2017-04-22,Dia do Agente de Viagem,1
2017-04-23,Dia do Livro,1
2017-04-25,Dia da Contabilidade,1
2017-04-27,Dia da Empregada Doméstica,1
2017-04-28,Dia da Educação,1
2017-04-28,Dia da Seg e Saúde no Trabalho,2
2017-04-28,Dia da Sogra,3
2017-04-29,Dia da Dança,1
2017-05-01,Dia do Trabalho,0
2017-05-01,Dia da Literatura Brasileira,1
2017-05-04,Dia de Star Wars,1
2017-05-05,Dia das Comunicações,1
2017-05-06,Dia da Matemática,1
2017-05-07,Dia do Oftalmologista,1
2017-05-08,Dia do Profissional de Marketing,1
2017-05-08,Dia do Artista Plástico,2
2017-05-10,Dia da Cozinheira,1
2017-05-12,Dia da Enfermagem,1
2017-05-13,Abolição da Escravatura,0
2017-05-13,Dia do Automóvel,1
2017-05-14,Dia das Mães,0
2017-05-15,Dia da Família,1
2017-05-15,Dia do Assistente Social,2
2017-05-15,Dia do Gerente de Banco,3
2017-05-16,Dia do Gari,1
2017-05-17,Dia da Internet,1
2017-05-17,Dia Contra a Homofobia,2
2017-05-17,Dia da Reciclagem,3
2017-05-19,Dia do Físico,1
2017-05-22,Dia do Abraço,1
2017-05-22,Dia da Biodiversidade,2
2017-05-24,Dia do Café,1
2017-05-25,Dia da Indústria,2
2017-05-25,Dia do Orgulho Nerd,3
2017-05-25,Dia de Adoção,4
2017-05-25,Dia da Costureira,5
2017-05-25,Dia do Trabalhador Industrial,6
2017-05-27,Dia da Mata Atlântica,1
2017-05-27,Dia do Profissional Liberal,2
2017-05-29,Dia da Energia,1
2017-05-29,Dia do Geógrafo,2
2017-05-29,Dia do Sociólogo,3
2017-05-31,Dia da Aeromoça,1
2017-05-31,Dia do Desafio,1
2017-06-03,Dia do Profissional de RH,1
2017-06-05,Dia da Ecologia,1
2017-06-08,Dia dos Oceanos,1
2017-06-09,Dia do Tenista,1
2017-06-10,Dia da Língua Portuguesa,1
2017-06-11,Dia da Marinha Brasileira,1
2017-06-12,Dia dos Namorados,0
2017-06-13,Dia do Turista,1
2017-06-13,Dia de Santo Antônio,2
2017-06-15,Corpus Christi,0
2017-06-15,Dia da Energia Eólica,1
2017-06-18,Dia do Químico,1
2017-06-19,Dia do Cinema Nacional,1
2017-06-20,Dia do Revendedor,1
2017-06-21,Dia da Ioga,1
2017-06-23,Dia do Atleta Olímpico,1
2017-06-24,Dia de São João,1
2017-06-25,Dia do Imigrante,1
2017-06-28,Dia do Orgulho Gay,1
2017-06-29,Dia de São Pedro,1
2017-06-29,Dia da Telefonista,2
2017-07-02,Dia do Bombeiro,1
2017-07-04,Dia do Atendente de Telemarketing,1
2017-07-10,Dia da Saúde Ocular,1
2017-07-12,Dia do Engenheiro Florestal,1
2017-07-13,Dia do Rock,1
2017-07-15,Dia do Homem,1
2017-07-16,Dia do Comerciante,1
2017-07-17,Dia de Proteção à Floresta,1
2017-07-19,Dia do Futebol,1
2017-07-19,Dia da Junta Comercial,2
2017-07-20,Dia do Amigo,1
2017-07-24,Dia do Calouro,1
2017-07-25,Dia do Escritor,1
2017-07-25,Dia dos Viajantes,2
2017-07-26,Dia dos Avós,1
2017-07-27,Dia do Motociclista,1
2017-07-28,Dia do Agricultor,1
2017-08-01,Dia do Cerealista,1
2017-08-11,Dia do Advogado,1
2017-08-11,Dia do Estudante,2
2017-08-12,Dia das Artes,1
2017-08-13,Dia dos Pais,0
2017-08-13,Dia do Economista,1
2017-08-14,Dia do Cardiologista,1
2017-08-15,Dia da Informática,1
2017-08-15,Dia da Gestante,2
2017-08-15,Dia do Solteiro,3
2017-08-19,Dia da Fotografia,1
2017-08-19,Dia do Ator,2
2017-08-19,Dia do Ciclista,3
2017-08-19,Dia do Historiador,4
2017-08-22,Dia do Educador Especial,1
2017-08-24,Dia dos Artistas,1
2017-08-24,Dia da Infância,2
2017-08-25,Dia do Soldado,1
2017-08-27,Dia do Psicólogo,1
2017-08-27,Dia do Corretor Imobiliário,2
2017-08-28,Dia dos Bancários,1
2017-08-30,Dia do Vendedor Lojista,1
2017-08-31,Dia do Nutricionista,1
2017-09-03,Dia do Biólogo,1
2017-09-05,Dia do Irmão,0
2017-09-05,Dia da Amazônia,1
2017-09-05,Dia do Oficial de Justiça,2
2017-09-06,Dia do Sexo,1
2017-09-06,Dia do Alfaiate,2
2017-09-07,Independência do Brasil,0
2017-09-08,Dia da Alfabetização,1
2017-09-09,Dia do Administrador,1
2017-09-09,Dia do Médico Veterinário,2
2017-09-11,Dia do Árbitro Esportivo,1
2017-09-13,Dia do Agrônomo,1
2017-09-13,Dia da Cachaça,2
2017-09-15,Dia do Cliente,0
2017-09-16,Dia do Caminhoneiro,1
2017-09-19,Dia do Comprador,1
2017-09-19,Dia do Ortopedista,2
2017-09-21,Dia da Árvore,1
2017-09-21,Dia do Fazendeiro,2
2017-09-21,Dia do Radialista,3
2017-09-22,Dia do Atleta Paraolímpico,1
2017-09-22,Dia do Contador,2
2017-09-23,Dia do Sorvete,1
2017-09-23,Dia do Técnico Industrial,2
2017-09-25,Dia do Rádio,1
2017-09-26,Dia do Policial,1
2017-09-27,Dia do Encanador,1
2017-09-29,Dia do Anunciante,1
2017-09-30,Dia da Secretária,1
2017-09-30,Dia do Churrasqueiro,2
2017-09-30,Dia do Jornaleiro,3
2017-09-30,Dia do Tradutor,4
2017-09-30,Dia da Navegação,5
2017-10-01,Dia da Música,1
2017-10-01,Dia do Representante Comercial,2
2017-10-01,Dia do Vendedor,3
2017-10-01,Dia do Vegetarianismo,4
2017-10-03,Dia do Dentista,1
2017-10-04,Dia dos Animais,1
2017-10-04,Dia do Cachorro,2
2017-10-04,Dia do Barman,3
2017-10-04,Dia da Natureza,4
2017-10-05,Dia da Micro e Pequena Empresa,1
2017-10-07,Dia do Compositor Brasileiro,1
2017-10-09,Dia do Atletismo,1
2017-10-09,Dia do Açougueiro,2
2017-10-10,Dia da Saúde Mental,1
2017-10-12,Dia da Criança,0
2017-10-12,Dia da Leitura,1
2017-10-12,Dia de Nsa Sra Aparecida,2
2017-10-12,Dia dos Corretores de Seguro,3
2017-10-12,Dia do Engenheiro Agrônomo,4
2017-10-13,Dia do Fisioterapeuta,1
2017-10-13,Dia do Terapeuta Ocupacional,2
2017-10-14,Dia da Pecuária,1
2017-10-15,Dia do Professor,0
2017-10-16,Dia da Alimentação,1
2017-10-17,Dia do Profissional de Propaganda,1
2017-10-17,Dia da MPB,2
2017-10-17,Dia do Eletricista,3
2017-10-17,Dia da Apicultura,4
2017-10-18,Dia do Médico,1
2017-10-19,Dia do Profissional de Informática,1
2017-10-21,Dia do Contato Publicitário,1
2017-10-22,Dia do Enólogo,1
2017-10-23,Dia do Aviador,1
2017-10-23,Dia da Aviação Brasileira,2
2017-10-25,Dia do Cirurgião-dentista,1
2017-10-25,Dia do Macarrão,2
2017-10-26,Dia da Construção Civil,1
2017-10-28,Dia do Funcionário Público,1
2017-10-28,Dia da Animação,2
2017-10-28,Dia do Judô,3
2017-10-29,Dia das Flores,1
